organism,kingdom,phylum,class,order,family,genus,species,kingdom_id,phylum_id,class_id,order_id,family_id,genus_id,species_id
Ceratocystis adjuncti,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma adjuncti,5,95,320,1292,4157,7460035,5254296
Ceratocystis alba,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis alba,5,95,320,1292,4157,2564884,2574023
Ceratocystis albida,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis albida,5,95,320,1059,4156,2564452,5483121
Ceratocystis albofundus,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis albofundus,5,95,320,1059,4156,2564452,5483109
Ceratocystis capillifera,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pilifera,5,95,320,1059,4156,2564452,5252322
Ceratocystis clavigera,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia clavigera,5,95,320,1292,4157,2564883,2573889
Ceratocystis coerulea,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pilifera,5,95,320,1059,4156,2564452,5252322
Ceratocystis coerulescens,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Endoconidiophora,Endoconidiophora coerulescens,5,95,320,1059,4156,8222261,2564805
Ceratocystis crassivaginata,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia crassivaginata,5,95,320,1292,4157,2564883,2573951
Ceratocystis dolominuta,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis dolominuta,5,95,320,1059,4156,2564452,5483120
Ceratocystis eucastaneae,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis eucastaneae,5,95,320,1059,4156,2564452,5252319
Ceratocystis europhioides,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia europhioides,5,95,320,1292,4157,2564883,2573955
Ceratocystis fagacearum,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis fagacearum,5,95,320,1059,4156,2564452,5252299
Ceratocystis fimbriata,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis fimbriata,5,95,320,1059,4156,2564452,5252354
Ceratocystis floccosa,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Pesotum,Pesotum piceae,5,95,320,1292,4157,2564980,2574135
Ceratocystis fraxinopennsylvanica,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Togniniaceae,Phaeoacremonium,Phaeoacremonium mortoniae,5,95,320,1289,4150,2568680,2568706
Ceratocystis huntii,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia huntii,5,95,320,1292,4157,2564883,2573930
Ceratocystis ips,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis ips,5,95,320,1059,4156,2564452,5252311
Ceratocystis laricicola,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Endoconidiophora,Endoconidiophora laricicola,5,95,320,1059,4156,8222261,7662225
Ceratocystis major,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis adiposa,5,95,320,1059,4156,2564452,5252349
Ceratocystis minor,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis minor,5,95,320,1059,4156,2564452,5252301
Ceratocystis minuta,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ceratocystiopsis,Ceratocystiopsis minuta,5,95,320,1292,4157,2564884,2574190
Ceratocystis moniliformis,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Huntiella moniliformis,5,95,320,1059,4156,8273804,7946812
Ceratocystis montia,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis montium,5,95,320,1059,4156,2564452,5483089
Ceratocystis multiannulata,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma multiannulatum,5,95,320,1292,4157,7460035,5254327
Ceratocystis olivaceapini,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia olivaceapini,5,95,320,1292,4157,2564883,7750560
Ceratocystis paradoxa,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis paradoxa,5,95,320,1059,4156,2564452,5252313
Ceratocystis piceae,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Pesotum,Pesotum piceae,5,95,320,1292,4157,2564980,2574135
Ceratocystis pilifera,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pilifera,5,95,320,1059,4156,2564452,5252322
Ceratocystis pluriannulata,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pluriannulata,5,95,320,1059,4156,2564452,5252295
Ceratocystis polonica,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Endoconidiophora,Endoconidiophora polonica,5,95,320,1059,4156,8222261,7472926
Ceratocystis polychroma,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis polychroma,5,95,320,1059,4156,2564452,5483155
Ceratocystis ponderosae,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis ponderosae,5,95,320,1059,4156,2564452,5483141
Ceratocystis populicola,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma populicola,5,95,320,1292,4157,7460035,7554949
Ceratocystis populina,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma populinum,5,95,320,1292,4157,7460035,5254262
Ceratocystis radicicola,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis radicicola,5,95,320,1059,4156,2564452,5252336
Ceratocystis robusta,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia robusta,5,95,320,1292,4157,2564883,2573937
Ceratocystis rufipennis,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Endoconidiophora,Endoconidiophora rufipennis,5,95,320,1059,4156,8222261,7526639
Ceratocystis schrenkiana,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis schrenkiana,5,95,320,1059,4156,2564452,5483105
Ceratocystis stenoceras,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis stenoceras,5,95,320,1059,4156,2564452,5252365
Ceratocystis tremuloaurea,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma tremulo-aureum,5,95,320,1292,4157,7460035,5895721
Ceratocystis ulmi,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma ulmi,5,95,320,1292,4157,7460035,5254314
Ceratocystis variospora,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis variospora,5,95,320,1059,4156,2564452,5252362
Ceratocystis virescens,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Davidsoniella,Davidsoniella virescens,5,95,320,1059,4156,8323375,7388170
Ceratocystis wageneri,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Grosmannia,Grosmannia wageneri,5,95,320,1292,4157,2564883,2573904
Ceratocystis wilsonii,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Huntiella moniliformis,5,95,320,1059,4156,8273804,7946812
Ceratophorum setosum,Fungi,Ascomycota,NA,NA,NA,Pleiochaeta,Pleiochaeta setosa,5,95,NA,NA,NA,2590302,2590303
Ceratorhiza cerealis,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium cereale,5,34,186,1300,8458,2518461,2555144
Ceratorhiza oryzae-sativae,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Rhizoctonia,Rhizoctonia oryzae-sativae,5,34,186,1300,8458,8612683,2555100
Ceratorhiza ramicola,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium ramicola,5,34,186,1300,8458,2518461,2555133
Ceratosphaeria grisea,Fungi,Ascomycota,Sordariomycetes,Magnaporthales,Pyriculariaceae,Pyricularia,Pyricularia grisea,5,95,320,7889691,8078879,2569307,2569274
Ceratostoma phoenicis,Fungi,Ascomycota,Sordariomycetes,Phyllachorales,Phaeochoraceae,Serenomyces,Serenomyces phoenicis,5,95,320,1026,8269,2569775,2569777
Ceratostomella adiposa,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis adiposa,5,95,320,1059,4156,2564452,5252349
Ceratostomella capillifera,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pilifera,5,95,320,1059,4156,2564452,5252322
Ceratostomella coerulea,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pilifera,5,95,320,1059,4156,2564452,5252322
Ceratostomella echinella,Fungi,Ascomycota,Sordariomycetes,Calosphaeriales,Calosphaeriaceae,Jattaea,Jattaea echinella,5,95,320,1283,4142,2565674,7998359
Ceratostomella exigua,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma exiguum,5,95,320,1292,4157,7460035,5486699
Ceratostomella fimbriata,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis fimbriata,5,95,320,1059,4156,2564452,5252354
Ceratostomella major,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis adiposa,5,95,320,1059,4156,2564452,5252349
Ceratostomella moniliformis,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Huntiella,Huntiella moniliformis,5,95,320,1059,4156,8273804,7946812
Ceratostomella multiannulata,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma multiannulatum,5,95,320,1292,4157,7460035,5254327
Ceratostomella paradoxa,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis paradoxa,5,95,320,1059,4156,2564452,5252313
Ceratostomella piceae,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Pesotum,Pesotum piceae,5,95,320,1292,4157,2564980,2574135
Ceratostomella pilifera,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pilifera,5,95,320,1059,4156,2564452,5252322
Ceratostomella pini,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis minor,5,95,320,1059,4156,2564452,5252301
Ceratostomella pluriannulata,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis pluriannulata,5,95,320,1059,4156,2564452,5252295
Ceratostomella radicicola,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis radicicola,5,95,320,1059,4156,2564452,5252336
Ceratostomella schrenkiana,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis schrenkiana,5,95,320,1059,4156,2564452,5483105
Ceratostomella stenoceras,Fungi,Ascomycota,Sordariomycetes,Microascales,Ceratocystidaceae,Ceratocystis,Ceratocystis stenoceras,5,95,320,1059,4156,2564452,5252365
Ceratostomella ulmi,Fungi,Ascomycota,Sordariomycetes,Ophiostomatales,Ophiostomataceae,Ophiostoma,Ophiostoma ulmi,5,95,320,1292,4157,7460035,5254314
Cercodeuterospora trichophila,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora cajani,5,95,183,1262,4797,9624081,2624561
Cercoseptoria amaranthicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercoseptoria,Cercoseptoria amaranthicola,5,95,183,1262,4797,2584762,2624704
Cercoseptoria andropogonis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramulispora,Ramulispora schizachyriicola,5,95,183,1262,4797,2584369,3503109
Cercoseptoria annonacea,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora annonacea,5,95,183,1262,4797,2589681,3502678
Cercoseptoria astragali,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella astragali,5,95,183,1262,4797,2584093,2620767
Cercoseptoria balsaminae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora balsaminae,5,95,183,1262,4797,2589681,2623993
Cercoseptoria blephiliae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercoseptoria,Cercoseptoria blephiliae,5,95,183,1262,4797,2584762,3287554
Cercoseptoria cajanicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora cajanicola,5,95,183,1262,4797,2589681,2624234
Cercoseptoria calthae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercoseptoria,Cercoseptoria calthae,5,95,183,1262,4797,2584762,3308150
Cercoseptoria capsellae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella capsellae,5,95,183,1262,4797,2584093,2620776
Cercoseptoria cerastii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella cerastii,5,95,183,1262,4797,2584093,3512798
Cercoseptoria clerodendri,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora clerodendrigena,5,95,183,1262,4797,2589681,2623684
Cercoseptoria crataegi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercoseptoria,Cercoseptoria crataegi,5,95,183,1262,4797,2584762,2624706
Cercoseptoria egenula,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora egenula,5,95,183,1262,4797,2589681,2624112
Cercoseptoria eriobotryicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercoseptoria,Cercoseptoria eriobotryicola,5,95,183,1262,4797,2584762,2624692
Cercoseptoria handelii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora handelii,5,95,183,1262,4797,5237122,5264666
Cercoseptoria ipomoeae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella ipomoeae,5,95,183,1262,4797,2584093,2620808
Cercoseptoria iridis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Ramularia,Ramularia iridis,5,95,183,1262,4797,2513169,5503510
Cercoseptoria lappulae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella lappulae,5,95,183,1262,4797,2584093,3512761
Cercoseptoria laserpitii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella laserpitii,5,95,183,1262,4797,2584093,2620803
Cercoseptoria leptosperma,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella leptosperma,5,95,183,1262,4797,2584093,2620797
Cercoseptoria ligustrina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora ligustrina,5,95,183,1262,4797,5237122,5264753
Cercoseptoria liquidambaricola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora liquidambaricola,5,95,183,1262,4797,2589681,3502444
Cercoseptoria longispora,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora longispora,5,95,183,1262,4797,5237122,5264609
Cercoseptoria magnusiana,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella magnusiana,5,95,183,1262,4797,2584093,2620811
Cercoseptoria minuta,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora campanulae,5,95,183,1262,4797,2589681,3502868
Cercoseptoria moravica,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora moravica,5,95,183,1262,4797,5237122,5264761
Cercoseptoria neriella,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora neriella,5,95,183,1262,4797,2589681,2623791
Cercoseptoria nymphaeacea,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora nymphaeacea,5,95,183,1262,4797,2589681,3503046
Cercoseptoria ocellata,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora ocellata,5,95,183,1262,4797,2589681,3503035
Cercoseptoria oxyriae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella oxyriae,5,95,183,1262,4797,2584093,2620814
Cercoseptoria pini-densiflorae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Mycosphaerella,Mycosphaerella gibsonii,5,95,183,1262,4797,2569921,2622482
Cercoseptoria prunicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora prunicola,5,95,183,1262,4797,2589681,3502958
Cercoseptoria pruni-persicae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercoseptoria,Cercoseptoria pruni-persicae,5,95,183,1262,4797,2584762,2624711
Cercoseptoria ribis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella ribis,5,95,183,1262,4797,2584093,3512790
Cercoseptoria septoriopsidis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella septoriopsidis,5,95,183,1262,4797,2584093,3512734
Cercoseptoria sesami,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora sesami,5,95,183,1262,4797,2589681,3502941
Cercoseptoria smithii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercosporella,Pseudocercosporella smithii,5,95,183,1262,4797,2584093,3512795
Cercoseptoria sublineolata,Fungi,Ascomycota,Leotiomycetes,Helotiales,Helotiaceae,Heterosphaeria,Heterosphaeria sublineolata,5,95,179,1052,8381,2575795,8093837
Cercoseptoria tecomicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora tecomicola,5,95,183,1262,4797,2589681,3502324
Cercoseptoria tinea,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora viburnigena,5,95,183,1262,4797,2589681,2623703
Cercoseptoria vermiformis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Anguillosporella,Anguillosporella vermiformis,5,95,183,1262,4797,2623421,2623424
Cercoseptoria whalianensis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora whalianensis,5,95,183,1262,4797,2589681,2623761
Cercoseptoria zingiberis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora zingiberis,5,95,183,1262,4797,2589681,3502299
Cercospora abacopteridicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora abacopteridicola,5,95,183,1262,4797,2589681,2623996
Cercospora abacopteridis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora abacopteridis,5,95,183,1262,4797,5237122,5508178
Cercospora abchasica,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora abchazica,5,95,183,1262,4797,5237122,5507307
Cercospora abeliae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora abeliae,5,95,183,1262,4797,2589681,2624376
Cercospora abelmoschi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora abelmoschi,5,95,183,1262,4797,2589681,2624335
Cercospora absinthii,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Massarinaceae,Helminthosporium,Helminthosporium absinthii,5,95,183,1047,8308,2568633,3535306
Cercospora abutilonis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora abutilonis,5,95,183,1262,4797,5237122,5506654
Cercospora acaciae-confusae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora acaciae-confusae,5,95,183,1262,4797,2589681,2623853
Cercospora acaciae-mangii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acaciae-mangii,5,95,183,1262,4797,5237122,5506682
Cercospora acalyphae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acalyphae,5,95,183,1262,4797,5237122,5264556
Cercospora acalypharum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acalypharum,5,95,183,1262,4797,5237122,5506889
Cercospora acanthacearum,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acanthacearum,5,95,183,1262,4797,5237122,7254584
Cercospora acanthi,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acanthi,5,95,183,1262,4797,5237122,5508509
Cercospora acanthicola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora acanthicola,5,95,183,1262,4797,9624081,3503935
Cercospora acanthi-longifolii,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acanthi-longifolii,5,95,183,1262,4797,5237122,5508637
Cercospora acericola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,NA,5,95,183,1262,4797,5237122,NA
Cercospora acerigena,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acerigena,5,95,183,1262,4797,5237122,5508182
Cercospora acerina,Fungi,Ascomycota,Dothideomycetes,Pleosporales,NA,Mycocentrospora,Mycocentrospora acerina,5,95,183,1047,NA,9539524,2614833
Cercospora acetosellae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora acetosellae,5,95,183,1262,4797,2589681,3502331
Cercospora achilleae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora achilleae,5,95,183,1262,4797,5237122,5506728
Cercospora achyranthina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora achyranthina,5,95,183,1262,4797,5237122,5508621
Cercospora achyranthis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora achyranthis,5,95,183,1262,4797,5237122,5508459
Cercospora aciculina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora aciculina,5,95,183,1262,4797,2589681,3502838
Cercospora acnidae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora acnidae,5,95,183,1262,4797,5237122,5507354
Cercospora aconiti,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora aconiti,5,95,183,1262,4797,5237122,5508146
Cercospora acrocomiae,Fungi,Ascomycota,NA,NA,NA,Exosporium,Exosporium acrocomiae,5,95,NA,NA,NA,2568593,8300286
Cercospora actinidiae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora actinidiae,5,95,183,1262,4797,5237122,5507976
Cercospora adhatodae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora adhatodae,5,95,183,1262,4797,5237122,5507417
Cercospora adianti,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora,Pseudocercospora adianti,5,95,183,1262,4797,2589681,2623738
Cercospora adianticola,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora adianticola,5,95,183,1262,4797,5237122,5508144
Cercospora adiantigena,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora adiantigena,5,95,183,1262,4797,5237122,5507924
Cercospora adusta,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora adusta,5,95,183,1262,4797,5237122,5508649
Cercospora aeruginosa,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora aeruginosa,5,95,183,1262,4797,5237122,5507578
Cercospora aervae-lanatae,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora aervae-lanatae,5,95,183,1262,4797,5237122,5506907
Cercospora aeschynomenes,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora aeschynomenes,5,95,183,1262,4797,5237122,5507202
Cercospora aesculina,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Passalora,Passalora aesculina,5,95,183,1262,4797,9624081,3503970
Cercospora affinis,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,NA,5,95,183,1262,4797,5237122,NA
Cercospora afflata,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Cercospora,Cercospora afflata,5,95,183,1262,4797,5237122,5264608
